FAWN Station,Period,2m T avg (F),2m T min (F),2m T max (F),Tsoil avg-10cm  (F),Tsoil min(avg)-10cm  (F),Tsoil max(avg)-10cm  (F),2m DewPt avg (F),RelHum avg 2m  (pct),2m Rain tot (in),2m Rain max over 15min (in),SolRad avg2m  (w/m^2),10m Wind avg (mph),10m Wind min (mph),10m Wind max (mph),WDir avg10m  (deg),BP avg (mb),N (# obs),2m WetBulb (F),Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,Season,Temp_Range,Soil_Temp_Range,Temp_Category,Apparent_Temp,Wind_Range,Wind_Category,Wind_Chill,Rain_Category,Has_Rain,Rain_Intensity,Humidity_Comfort,Dewpoint_Comfort,Solar_Category,Comfort_Index,Weather_Severity,Station_Avg_Temp,Station_Avg_Rain,Temp_Deviation_From_Station,Temp_Humidity_Interaction,Wind_Rain_Interaction
Apopka,2022-01-22,49.16,43.28,54.05,63.73,61.14,66.67,48.39,97,0.01,0.01,22.4,7.42,0.6,21.85,11,1018,96,48.74,2022,1,22,5,1,3,Winter,10.769999999999996,5.530000000000001,Cold,42.489115999999996,21.25,Light,45.98862988575764,Light,1,0.04,Very Humid,Dry,Low,69.23744491548119,1.3588000000000002,72.3688594890511,0.15990875912408758,-23.208859489051108,4768.5199999999995,0.0742
Apopka,2022-01-23,43.31,38.29,49.62,59.94,58.21,61.09,40.17,89,0.0,0.0,93.69,6.24,0.63,16.35,323,1016,96,41.82,2022,1,23,6,1,3,Winter,11.329999999999998,2.8800000000000026,Cold,35.471147,15.72,Light,39.55566435021027,No Rain,0,0.0,Very Humid,Dry,Low,74.50697865595785,1.5840999999999998,72.3688594890511,0.15990875912408758,-29.058859489051102,3854.59,0.0
Apopka,2022-01-24,46.99,33.39,58.8,58.06,54.14,61.97,34.37,67,0.0,0.0,191.17,3.82,0.0,13.78,292,1013,96,41.34,2022,1,24,0,1,4,Winter,25.409999999999997,7.829999999999998,Cold,41.902489,13.78,Calm,45.53671690739644,No Rain,0,0.0,Humid,Dry,Low,73.88475830856264,1.3033,72.3688594890511,0.15990875912408758,-25.378859489051102,3148.33,0.0
Apopka,2022-01-25,49.34,47.17,52.57,58.88,58.3,59.76,44.25,83,0.22,0.03,32.22,3.26,0.07,12.19,63,1014,96,46.74,2022,1,25,1,1,4,Winter,5.399999999999999,1.4600000000000009,Cold,43.681226,12.12,Calm,48.697020592884556,Moderate,1,0.12,Very Humid,Dry,Low,80.50591164196081,1.6034,72.3688594890511,0.15990875912408758,-23.0288594890511,4095.2200000000003,0.7172
Apopka,2022-01-26,54.62,48.81,59.36,58.78,57.69,60.13,53.73,97,0.4,0.17,34.83,7.09,0.58,18.72,37,1015,96,54.11,2022,1,26,2,1,4,Winter,10.549999999999997,2.440000000000005,Mild,49.696861999999996,18.14,Light,54.62,Moderate,1,0.68,Very Humid,Comfortable,Low,73.44240138113635,1.8526000000000002,72.3688594890511,0.15990875912408758,-17.748859489051107,5298.139999999999,2.8360000000000003
Apopka,2022-01-27,59.51,54.82,65.19,60.94,59.63,62.69,56.53,90,0.0,0.0,71.06,8.71,0.05,23.85,20,1017,96,57.71,2022,1,27,3,1,4,Winter,10.369999999999997,3.059999999999995,Mild,56.39447,23.8,Light,59.51,No Rain,0,0.0,Very Humid,Comfortable,Low,76.67778842261505,0.8729000000000001,72.3688594890511,0.15990875912408758,-12.858859489051106,5355.9,0.0
Apopka,2022-01-28,56.78,51.31,67.01,61.91,59.97,64.53,52.34,86,0.02,0.01,117.95,7.19,0.56,22.53,308,1012,96,54.22,2022,1,28,4,1,4,Winter,15.700000000000003,4.560000000000002,Mild,53.028164000000004,21.970000000000002,Light,56.78,Light,1,0.04,Very Humid,Comfortable,Low,82.02324362096428,0.9885999999999999,72.3688594890511,0.15990875912408758,-15.588859489051103,4883.08,0.1438
Apopka,2022-01-29,43.23,35.46,53.74,59.09,56.57,61.75,24.3,48,0.0,0.0,210.2,11.83,0.16,32.7,316,1017,96,35.99,2022,1,29,5,1,4,Winter,18.28,5.18,Cold,38.989632,32.540000000000006,Moderate,36.96560714244772,No Rain,0,0.0,Comfortable,Dry,Moderate,43.16686571840751,1.8117000000000003,72.3688594890511,0.15990875912408758,-29.138859489051107,2075.04,0.0
Apopka,2022-01-30,42.41,29.67,54.19,55.97,51.96,59.97,20.42,43,0.0,0.0,209.94,4.39,0.16,13.09,311,1022,96,34.48,2022,1,30,6,1,4,Winter,24.519999999999996,8.009999999999998,Cold,38.494978999999994,12.93,Calm,39.772713137643336,No Rain,0,0.0,Comfortable,Dry,Moderate,56.22384129736017,1.5551000000000001,72.3688594890511,0.15990875912408758,-29.958859489051108,1823.6299999999999,0.0
Apopka,2022-01-31,50.64,33.86,67.35,57.43,52.95,62.51,38.72,66,0.0,0.0,204.81,3.12,0.02,11.9,211,1020,96,44.9,2022,1,31,0,1,5,Winter,33.489999999999995,9.559999999999995,Mild,46.423392,11.88,Calm,50.64,No Rain,0,0.0,Humid,Dry,Moderate,73.44129242439769,1.0928,72.3688594890511,0.15990875912408758,-21.728859489051104,3342.2400000000002,0.0
Apopka,2022-02-01,55.77,39.21,70.63,59.28,55.31,63.27,44.17,69,0.0,0.0,179.05,4.74,0.09,20.2,85,1020,96,49.69,2022,2,1,1,1,5,Winter,31.419999999999995,7.960000000000001,Mild,52.52982900000001,20.11,Calm,55.77,No Rain,0,0.0,Humid,Dry,Low,83.10687171440327,0.9010999999999998,72.3688594890511,0.15990875912408758,-16.5988594890511,3848.13,0.0
Apopka,2022-02-02,63.8,49.21,78.04,61.72,57.81,66.11,52.24,70,0.0,0.0,190.46,6.91,0.69,25.93,107,1018,96,57.02,2022,2,2,2,1,5,Winter,28.830000000000005,8.299999999999997,Mild,62.367799999999995,25.24,Light,63.8,No Rain,0,0.0,Humid,Comfortable,Low,84.38203517196648,0.5864000000000001,72.3688594890511,0.15990875912408758,-8.568859489051107,4466.0,0.0
Apopka,2022-02-03,70.32,61.39,81.18,65.39,61.93,69.48,60.0,72,0.0,0.0,187.96,7.43,0.13,23.38,133,1017,96,63.72,2022,2,3,3,1,5,Winter,19.790000000000006,7.550000000000004,Warm,70.39603199999999,23.25,Light,70.32,No Rain,0,0.0,Humid,Comfortable,Low,87.68394435528838,0.31319999999999965,72.3688594890511,0.15990875912408758,-2.048859489051111,5063.039999999999,0.0
Apopka,2022-02-04,71.65,62.78,82.69,68.32,64.98,72.39,64.71,80,0.0,0.0,179.16,5.24,0.27,20.56,193,1017,96,67.02,2022,2,4,4,1,5,Winter,19.909999999999997,7.409999999999997,Warm,72.08560000000001,20.29,Light,71.65,No Rain,0,0.0,Humid,Sticky,Low,98.38521285241328,0.2921000000000003,72.3688594890511,0.15990875912408758,-0.7188594890510984,5732.0,0.0
Apopka,2022-02-05,57.97,49.89,69.12,67.0,63.73,69.75,54.95,90,0.05,0.02,41.05,6.93,0.13,19.77,13,1019,96,56.18,2022,2,5,5,1,5,Winter,19.230000000000004,6.020000000000003,Mild,54.39709,19.64,Light,57.97,Light,1,0.08,Very Humid,Comfortable,Low,80.71499443688666,0.9787,72.3688594890511,0.15990875912408758,-14.398859489051105,5217.3,0.34650000000000003
Apopka,2022-02-06,56.03,50.74,63.01,63.56,62.2,65.23,55.02,97,0.04,0.01,65.03,5.5,0.22,14.99,359,1018,96,55.43,2022,2,6,6,1,5,Winter,12.269999999999996,3.030000000000001,Mild,51.558203,14.77,Light,56.03,Light,1,0.04,Very Humid,Comfortable,Low,78.72449236316055,0.9984999999999998,72.3688594890511,0.15990875912408758,-16.338859489051103,5434.91,0.22
Apopka,2022-02-07,52.77,49.08,60.01,62.84,61.57,64.6,51.06,94,0.0,0.0,100.12,5.2,0.22,16.73,322,1017,96,51.81,2022,2,7,0,1,6,Winter,10.93,3.029999999999994,Mild,47.425254,16.51,Light,52.77,No Rain,0,0.0,Very Humid,Comfortable,Low,79.6617412290813,1.0695,72.3688594890511,0.15990875912408758,-19.5988594890511,4960.38,0.0
Apopka,2022-02-08,50.04,47.35,52.39,60.77,59.22,62.4,48.92,96,0.43,0.03,20.59,5.09,0.45,11.97,17,1016,96,49.44,2022,2,8,1,1,6,Winter,5.039999999999999,3.1799999999999997,Mild,43.716672,11.520000000000001,Light,50.04,Moderate,1,0.12,Very Humid,Dry,Low,76.95153116733277,2.0616,72.3688594890511,0.15990875912408758,-22.328859489051105,4803.84,2.1887
Apopka,2022-02-09,53.2,43.57,64.74,60.56,57.9,64.31,44.41,76,0.01,0.01,219.15,5.37,0.25,16.13,352,1015,96,48.62,2022,2,9,2,1,6,Winter,21.169999999999995,6.410000000000004,Mild,48.986560000000004,15.879999999999999,Light,53.2,Light,1,0.04,Humid,Dry,Moderate,86.42327480942757,1.0747999999999998,72.3688594890511,0.15990875912408758,-19.1688594890511,4043.2000000000003,0.053700000000000005
Apopka,2022-02-10,53.91,40.14,69.04,60.38,55.89,65.39,42.87,71,0.0,0.0,225.06,3.78,0.02,16.96,40,1016,96,48.25,2022,2,10,3,1,6,Winter,28.900000000000006,9.5,Mild,50.14011299999999,16.94,Calm,53.91,No Rain,0,0.0,Humid,Dry,Moderate,80.68545564027072,0.9557000000000002,72.3688594890511,0.15990875912408758,-18.458859489051108,3827.6099999999997,0.0
Apopka,2022-02-11,60.86,47.97,76.28,62.54,58.44,67.3,50.63,71,0.0,0.0,177.86,4.31,0.02,14.88,72,1015,96,55.01,2022,2,11,4,1,6,Winter,28.310000000000002,8.86,Mild,58.718498,14.860000000000001,Calm,60.86,No Rain,0,0.0,Humid,Comfortable,Low,86.34450880094882,0.6294,72.3688594890511,0.15990875912408758,-11.508859489051105,4321.06,0.0
Apopka,2022-02-12,65.25,51.55,80.89,65.62,61.3,70.5,54.04,72,0.0,0.0,199.2,2.7,0.02,8.88,5,1015,96,58.53,2022,2,12,5,1,6,Winter,29.340000000000003,9.200000000000003,Mild,64.1214,8.860000000000001,Calm,65.25,No Rain,0,0.0,Humid,Comfortable,Low,85.18321094869987,0.34550000000000003,72.3688594890511,0.15990875912408758,-7.118859489051104,4698.0,0.0
Apopka,2022-02-13,63.42,54.52,72.09,66.92,65.26,69.12,58.28,84,0.14,0.03,126.98,6.14,0.05,26.46,282,1014,96,60.23,2022,2,13,6,1,6,Winter,17.57,3.8599999999999994,Mild,61.596024,26.41,Light,63.42,Moderate,1,0.12,Very Humid,Comfortable,Low,90.32045195509855,0.8545999999999999,72.3688594890511,0.15990875912408758,-8.948859489051102,5327.28,0.8596
Apopka,2022-02-14,50.64,40.58,62.15,62.94,58.95,66.72,27.6,43,0.0,0.0,225.38,6.61,0.09,19.91,5,1023,96,41.0,2022,2,14,0,1,7,Winter,21.57,7.769999999999996,Mild,47.892816,19.82,Light,50.64,No Rain,0,0.0,Comfortable,Dry,Moderate,58.74460422863003,1.2324,72.3688594890511,0.15990875912408758,-21.728859489051104,2177.52,0.0
Apopka,2022-02-15,56.03,39.03,69.93,61.66,58.17,65.17,46.18,71,0.0,0.0,141.49,6.81,1.05,25.3,58,1026,96,50.74,2022,2,15,1,1,7,Winter,30.900000000000006,7.0,Mild,52.756829,24.25,Light,56.03,No Rain,0,0.0,Humid,Dry,Low,80.67377033191671,0.9708999999999999,72.3688594890511,0.15990875912408758,-16.338859489051103,3978.13,0.0
Apopka,2022-02-16,65.6,53.28,78.39,64.69,60.91,69.04,57.19,77,0.0,0.0,194.97,7.4,0.72,24.65,93,1025,96,60.4,2022,2,16,2,1,7,Winter,25.11,8.13000000000001,Mild,64.48195999999999,23.93,Light,65.6,No Rain,0,0.0,Humid,Comfortable,Low,88.90957595635535,0.5160000000000003,72.3688594890511,0.15990875912408758,-6.76885948905111,5051.2,0.0
Apopka,2022-02-17,72.52,61.7,84.85,68.16,64.94,72.27,65.39,81,0.0,0.0,169.24,6.44,0.31,20.65,130,1019,96,67.72,2022,2,17,3,1,7,Winter,23.14999999999999,7.329999999999998,Warm,73.193596,20.34,Light,72.52,No Rain,0,0.0,Very Humid,Uncomfortable,Low,93.82823468246525,0.38359999999999983,72.3688594890511,0.15990875912408758,0.15114051094889192,5874.12,0.0
Apopka,2022-02-18,73.48,68.9,81.75,71.3,68.85,74.71,68.2,84,0.0,0.0,145.56,5.22,0.47,15.66,237,1016,96,69.84,2022,2,18,4,1,7,Winter,12.849999999999994,5.859999999999999,Warm,74.44465600000001,15.19,Light,73.48,No Rain,0,0.0,Very Humid,Uncomfortable,Low,94.59087868410172,0.3828000000000002,72.3688594890511,0.15990875912408758,1.1111405109488999,6172.320000000001,0.0
Apopka,2022-02-19,66.36,50.43,73.22,71.77,70.18,74.52,55.33,71,0.0,0.0,154.01,6.09,0.34,18.36,342,1018,96,59.65,2022,2,19,5,1,7,Winter,22.79,4.339999999999989,Mild,65.507148,18.02,Light,66.36,No Rain,0,0.0,Humid,Comfortable,Low,88.89605496543192,0.4256,72.3688594890511,0.15990875912408758,-6.008859489051105,4711.56,0.0
Apopka,2022-02-20,61.61,47.07,76.12,69.28,65.05,73.74,48.99,65,0.0,0.0,235.37,7.35,1.3,21.7,69,1022,96,54.5,2022,2,20,6,1,7,Winter,29.050000000000004,8.689999999999998,Mild,59.810345,20.4,Light,61.61,No Rain,0,0.0,Humid,Dry,Moderate,78.401084941426,0.7135,72.3688594890511,0.15990875912408758,-10.758859489051105,4004.65,0.0
Apopka,2022-02-21,67.42,56.5,79.32,70.29,66.79,74.1,57.01,72,0.0,0.0,189.07,5.8,0.58,19.57,99,1021,96,60.98,2022,2,21,0,1,8,Winter,22.819999999999993,7.309999999999988,Mild,66.80699200000001,18.990000000000002,Light,67.42,No Rain,0,0.0,Humid,Comfortable,Low,91.0297316458044,0.3609999999999999,72.3688594890511,0.15990875912408758,-4.948859489051102,4854.24,0.0
Apopka,2022-02-22,70.87,60.08,82.83,71.88,68.05,76.32,61.5,75,0.0,0.0,215.76,6.36,0.36,17.34,115,1021,96,64.79,2022,2,22,1,1,8,Winter,22.75,8.269999999999996,Warm,71.08532500000001,16.98,Light,70.87,No Rain,0,0.0,Humid,Sticky,Moderate,92.39872862383343,0.2979000000000002,72.3688594890511,0.15990875912408758,-1.4988594890510996,5315.25,0.0
Apopka,2022-02-23,72.68,64.2,84.15,74.03,70.36,78.57,65.74,81,0.0,0.0,215.22,4.37,0.09,13.73,144,1020,96,68.0,2022,2,23,2,1,8,Winter,19.950000000000003,8.209999999999994,Warm,73.396364,13.64,Calm,72.68,No Rain,0,0.0,Very Humid,Uncomfortable,Moderate,95.63253936915638,0.30880000000000035,72.3688594890511,0.15990875912408758,0.3111405109489027,5887.080000000001,0.0
Apopka,2022-02-24,71.52,60.87,83.82,74.92,71.02,78.84,63.63,79,0.0,0.0,217.02,3.85,0.05,13.62,126,1020,96,66.3,2022,2,24,3,1,8,Winter,22.949999999999996,7.820000000000007,Warm,71.916264,13.569999999999999,Calm,71.52,No Rain,0,0.0,Humid,Sticky,Moderate,94.98428500918114,0.22999999999999982,72.3688594890511,0.15990875912408758,-0.8488594890511081,5650.08,0.0
Apopka,2022-02-25,73.23,62.44,84.76,75.45,71.98,79.39,64.94,78,0.0,0.0,202.16,3.09,0.05,16.8,176,1021,96,67.67,2022,2,25,4,1,8,Winter,22.320000000000007,7.409999999999997,Warm,74.061402,16.75,Calm,73.23,No Rain,0,0.0,Humid,Sticky,Moderate,91.14893828829172,0.2851000000000002,72.3688594890511,0.15990875912408758,0.8611405109488999,5711.9400000000005,0.0
Apopka,2022-02-26,72.08,60.91,84.58,76.21,72.23,80.64,64.12,78,0.0,0.0,236.78,4.24,0.0,15.99,148,1021,96,66.78,2022,2,26,5,1,8,Winter,23.67,8.409999999999997,Warm,72.615392,15.99,Calm,72.08,No Rain,0,0.0,Humid,Sticky,Moderate,95.04763983000159,0.2735999999999999,72.3688594890511,0.15990875912408758,-0.2888594890511058,5622.24,0.0
Apopka,2022-02-27,71.26,58.73,82.89,76.76,72.81,81.09,62.28,76,0.0,0.0,238.24,3.89,0.0,14.88,267,1017,96,65.38,2022,2,27,6,1,8,Winter,24.160000000000004,8.280000000000001,Warm,71.576008,14.88,Calm,71.26,No Rain,0,0.0,Humid,Sticky,Moderate,93.19035782878314,0.21860000000000027,72.3688594890511,0.15990875912408758,-1.108859489051099,5415.76,0.0
Apopka,2022-02-28,64.19,57.63,72.27,75.2,73.35,77.9,60.39,88,0.05,0.03,106.1,4.63,0.02,21.21,340,1014,96,61.78,2022,2,28,0,1,9,Winter,14.639999999999993,4.550000000000011,Mild,62.502776,21.19,Calm,64.19,Light,1,0.12,Very Humid,Sticky,Low,89.8235188085686,0.5757000000000001,72.3688594890511,0.15990875912408758,-8.178859489051106,5648.719999999999,0.2315
Apopka,2022-03-01,62.33,57.09,73.02,72.65,70.43,75.65,53.88,76,0.0,0.0,194.74,5.99,0.29,21.07,26,1015,96,57.31,2022,3,1,1,1,9,Spring,15.929999999999993,5.219999999999999,Mild,60.406363999999996,20.78,Light,62.33,No Rain,0,0.0,Humid,Comfortable,Low,90.18694834737902,0.6231000000000001,72.3688594890511,0.15990875912408758,-10.038859489051106,4737.08,0.0
Apopka,2022-03-02,63.23,49.21,76.33,72.08,67.69,76.84,50.94,67,0.0,0.0,254.68,4.91,0.07,14.54,17,1017,96,56.13,2022,3,2,2,1,9,Spring,27.119999999999997,9.150000000000006,Mild,61.733152999999994,14.469999999999999,Calm,63.23,No Rain,0,0.0,Humid,Comfortable,Moderate,86.69426166916566,0.5349000000000002,72.3688594890511,0.15990875912408758,-9.138859489051107,4236.41,0.0
Apopka,2022-03-03,66.75,52.72,81.54,73.43,69.06,78.42,53.11,66,0.0,0.0,247.95,3.04,0.05,12.39,44,1018,96,58.62,2022,3,3,3,1,9,Spring,28.820000000000007,9.36,Mild,66.04215,12.34,Calm,66.75,No Rain,0,0.0,Humid,Comfortable,Moderate,82.90995283904121,0.2841,72.3688594890511,0.15990875912408758,-5.618859489051104,4405.5,0.0
Apopka,2022-03-04,69.72,56.1,83.59,74.69,70.7,78.93,50.81,56,0.0,0.0,252.54,5.01,0.02,18.77,77,1021,96,58.61,2022,3,4,4,1,9,Spring,27.490000000000002,8.230000000000004,Mild,69.668256,18.75,Light,69.72,No Rain,0,0.0,Comfortable,Comfortable,Moderate,83.31724363330312,0.21440000000000006,72.3688594890511,0.15990875912408758,-2.6488594890511052,3904.3199999999997,0.0
